country_code,country_name,region,year,sex,age_group,measure,value,lower,upper,unit,source
NGA,Nigeria,Africa,2008,Both,60+,Prevalence,5.52,4.69,6.51,Percent,GBD 2021
DEU,Germany,Europe,2008,Both,60+,Prevalence,10.02,8.52,11.82,Percent,GBD 2021
GBR,United Kingdom,Europe,2008,Both,60+,Prevalence,9.57,8.13,11.29,Percent,GBD 2021
FRA,France,Europe,2008,Both,60+,Prevalence,9.68,8.23,11.42,Percent,GBD 2021
ITA,Italy,Europe,2008,Both,60+,Prevalence,10.25,8.71,12.10,Percent,GBD 2021
KOR,South Korea,Asia,2008,Both,60+,Prevalence,8.90,7.57,10.50,Percent,GBD 2021
PAK,Pakistan,Asia,2008,Both,60+,Prevalence,6.53,5.55,7.71,Percent,GBD 2021
BGD,Bangladesh,Asia,2008,Both,60+,Prevalence,6.31,5.36,7.45,Percent,GBD 2021
AUS,Australia,Oceania,2008,Both,60+,Prevalence,9.35,7.95,11.03,Percent,GBD 2021
IND,India,Asia,2009,Both,60+,Prevalence,8.38,7.12,9.89,Percent,GBD 2021
CHN,China,Asia,2009,Both,60+,Prevalence,8.16,6.94,9.63,Percent,GBD 2021
USA,United States,Americas,2009,Both,60+,Prevalence,9.52,8.09,11.23,Percent,GBD 2021
JPN,Japan,Asia,2009,Both,60+,Prevalence,11.56,9.83,13.64,Percent,GBD 2021
IDN,Indonesia,Asia,2009,Both,60+,Prevalence,6.91,5.87,8.15,Percent,GBD 2021
BRA,Brazil,Americas,2009,Both,60+,Prevalence,8.84,7.51,10.43,Percent,GBD 2021
NGA,Nigeria,Africa,2009,Both,60+,Prevalence,5.55,4.72,6.55,Percent,GBD 2021
DEU,Germany,Europe,2009,Both,60+,Prevalence,10.08,8.57,11.89,Percent,GBD 2021
GBR,United Kingdom,Europe,2009,Both,60+,Prevalence,9.63,8.19,11.36,Percent,GBD 2021
FRA,France,Europe,2009,Both,60+,Prevalence,9.74,8.28,11.49,Percent,GBD 2021
ITA,Italy,Europe,2009,Both,60+,Prevalence,10.31,8.76,12.17,Percent,GBD 2021
KOR,South Korea,Asia,2009,Both,60+,Prevalence,8.95,7.61,10.56,Percent,GBD 2021
PAK,Pakistan,Asia,2009,Both,60+,Prevalence,6.57,5.58,7.75,Percent,GBD 2021
BGD,Bangladesh,Asia,2009,Both,60+,Prevalence,6.34,5.39,7.48,Percent,GBD 2021
AUS,Australia,Oceania,2009,Both,60+,Prevalence,9.40,7.99,11.09,Percent,GBD 2021
IND,India,Asia,2010,Both,60+,Prevalence,8.44,7.17,9.96,Percent,GBD 2021
CHN,China,Asia,2010,Both,60+,Prevalence,8.21,6.98,9.69,Percent,GBD 2021
USA,United States,Americas,2010,Both,60+,Prevalence,9.58,8.14,11.30,Percent,GBD 2021
JPN,Japan,Asia,2010,Both,60+,Prevalence,11.63,9.89,13.72,Percent,GBD 2021
IDN,Indonesia,Asia,2010,Both,60+,Prevalence,6.95,5.91,8.20,Percent,GBD 2021
BRA,Brazil,Americas,2010,Both,60+,Prevalence,8.89,7.56,10.49,Percent,GBD 2021
NGA,Nigeria,Africa,2010,Both,60+,Prevalence,5.59,4.75,6.60,Percent,GBD 2021
DEU,Germany,Europe,2010,Both,60+,Prevalence,10.15,8.63,11.98,Percent,GBD 2021
GBR,United Kingdom,Europe,2010,Both,60+,Prevalence,9.69,8.24,11.43,Percent,GBD 2021
FRA,France,Europe,2010,Both,60+,Prevalence,9.80,8.33,11.56,Percent,GBD 2021
ITA,Italy,Europe,2010,Both,60+,Prevalence,10.37,8.81,12.24,Percent,GBD 2021
KOR,South Korea,Asia,2010,Both,60+,Prevalence,9.01,7.66,10.63,Percent,GBD 2021
PAK,Pakistan,Asia,2010,Both,60+,Prevalence,6.61,5.62,7.80,Percent,GBD 2021
BGD,Bangladesh,Asia,2010,Both,60+,Prevalence,6.38,5.42,7.53,Percent,GBD 2021
AUS,Australia,Oceania,2010,Both,60+,Prevalence,9.46,8.04,11.16,Percent,GBD 2021
IND,India,Asia,2011,Both,60+,Prevalence,8.49,7.22,10.02,Percent,GBD 2021
CHN,China,Asia,2011,Both,60+,Prevalence,8.26,7.02,9.75,Percent,GBD 2021
USA,United States,Americas,2011,Both,60+,Prevalence,9.63,8.19,11.36,Percent,GBD 2021
JPN,Japan,Asia,2011,Both,60+,Prevalence,11.70,9.94,13.81,Percent,GBD 2021
IDN,Indonesia,Asia,2011,Both,60+,Prevalence,7.00,5.95,8.26,Percent,GBD 2021
BRA,Brazil,Americas,2011,Both,60+,Prevalence,8.95,7.61,10.56,Percent,GBD 2021
NGA,Nigeria,Africa,2011,Both,60+,Prevalence,5.62,4.78,6.63,Percent,GBD 2021
DEU,Germany,Europe,2011,Both,60+,Prevalence,10.21,8.68,12.05,Percent,GBD 2021
GBR,United Kingdom,Europe,2011,Both,60+,Prevalence,9.75,8.29,11.51,Percent,GBD 2021
FRA,France,Europe,2011,Both,60+,Prevalence,9.86,8.38,11.63,Percent,GBD 2021
ITA,Italy,Europe,2011,Both,60+,Prevalence,10.44,8.87,12.32,Percent,GBD 2021
KOR,South Korea,Asia,2011,Both,60+,Prevalence,9.06,7.70,10.69,Percent,GBD 2021
PAK,Pakistan,Asia,2011,Both,60+,Prevalence,6.65,5.65,7.85,Percent,GBD 2021
BGD,Bangladesh,Asia,2011,Both,60+,Prevalence,6.42,5.46,7.58,Percent,GBD 2021
AUS,Australia,Oceania,2011,Both,60+,Prevalence,9.52,8.09,11.23,Percent,GBD 2021
IND,India,Asia,2012,Both,60+,Prevalence,8.54,7.26,10.08,Percent,GBD 2021
CHN,China,Asia,2012,Both,60+,Prevalence,8.31,7.06,9.81,Percent,GBD 2021
USA,United States,Americas,2012,Both,60+,Prevalence,9.69,8.24,11.43,Percent,GBD 2021
JPN,Japan,Asia,2012,Both,60+,Prevalence,11.77,10.00,13.89,Percent,GBD 2021
IDN,Indonesia,Asia,2012,Both,60+,Prevalence,7.04,5.98,8.31,Percent,GBD 2021
BRA,Brazil,Americas,2012,Both,60+,Prevalence,9.00,7.65,10.62,Percent,GBD 2021
NGA,Nigeria,Africa,2012,Both,60+,Prevalence,5.65,4.80,6.67,Percent,GBD 2021
DEU,Germany,Europe,2012,Both,60+,Prevalence,10.27,8.73,12.12,Percent,GBD 2021
GBR,United Kingdom,Europe,2012,Both,60+,Prevalence,9.81,8.34,11.58,Percent,GBD 2021
FRA,France,Europe,2012,Both,60+,Prevalence,9.92,8.43,11.71,Percent,GBD 2021
ITA,Italy,Europe,2012,Both,60+,Prevalence,10.50,8.92,12.39,Percent,GBD 2021
KOR,South Korea,Asia,2012,Both,60+,Prevalence,9.12,7.75,10.76,Percent,GBD 2021
PAK,Pakistan,Asia,2012,Both,60+,Prevalence,6.69,5.69,7.89,Percent,GBD 2021
BGD,Bangladesh,Asia,2012,Both,60+,Prevalence,6.46,5.49,7.62,Percent,GBD 2021
AUS,Australia,Oceania,2012,Both,60+,Prevalence,9.58,8.14,11.30,Percent,GBD 2021
IND,India,Asia,2013,Both,60+,Prevalence,8.59,7.30,10.14,Percent,GBD 2021
CHN,China,Asia,2013,Both,60+,Prevalence,8.36,7.11,9.86,Percent,GBD 2021
USA,United States,Americas,2013,Both,60+,Prevalence,9.75,8.29,11.51,Percent,GBD 2021
JPN,Japan,Asia,2013,Both,60+,Prevalence,11.84,10.06,13.97,Percent,GBD 2021
IDN,Indonesia,Asia,2013,Both,60+,Prevalence,7.08,6.02,8.35,Percent,GBD 2021
BRA,Brazil,Americas,2013,Both,60+,Prevalence,9.06,7.70,10.69,Percent,GBD 2021
NGA,Nigeria,Africa,2013,Both,60+,Prevalence,5.69,4.84,6.71,Percent,GBD 2021
DEU,Germany,Europe,2013,Both,60+,Prevalence,10.33,8.78,12.19,Percent,GBD 2021
GBR,United Kingdom,Europe,2013,Both,60+,Prevalence,9.87,8.39,11.65,Percent,GBD 2021
FRA,France,Europe,2013,Both,60+,Prevalence,9.98,8.48,11.78,Percent,GBD 2021
ITA,Italy,Europe,2013,Both,60+,Prevalence,10.57,8.98,12.47,Percent,GBD 2021
KOR,South Korea,Asia,2013,Both,60+,Prevalence,9.17,7.79,10.82,Percent,GBD 2021
PAK,Pakistan,Asia,2013,Both,60+,Prevalence,6.73,5.72,7.94,Percent,GBD 2021
BGD,Bangladesh,Asia,2013,Both,60+,Prevalence,6.50,5.53,7.67,Percent,GBD 2021
AUS,Australia,Oceania,2013,Both,60+,Prevalence,9.64,8.19,11.38,Percent,GBD 2021
IND,India,Asia,2014,Both,60+,Prevalence,8.64,7.34,10.20,Percent,GBD 2021
CHN,China,Asia,2014,Both,60+,Prevalence,8.41,7.15,9.92,Percent,GBD 2021
USA,United States,Americas,2014,Both,60+,Prevalence,9.81,8.34,11.58,Percent,GBD 2021
JPN,Japan,Asia,2014,Both,60+,Prevalence,11.91,10.12,14.05,Percent,GBD 2021
IDN,Indonesia,Asia,2014,Both,60+,Prevalence,7.12,6.05,8.40,Percent,GBD 2021
BRA,Brazil,Americas,2014,Both,60+,Prevalence,9.11,7.74,10.75,Percent,GBD 2021
NGA,Nigeria,Africa,2014,Both,60+,Prevalence,5.72,4.86,6.75,Percent,GBD 2021
DEU,Germany,Europe,2014,Both,60+,Prevalence,10.40,8.84,12.27,Percent,GBD 2021
GBR,United Kingdom,Europe,2014,Both,60+,Prevalence,9.93,8.44,11.72,Percent,GBD 2021
FRA,France,Europe,2014,Both,60+,Prevalence,10.04,8.53,11.85,Percent,GBD 2021
ITA,Italy,Europe,2014,Both,60+,Prevalence,10.63,9.04,12.54,Percent,GBD 2021
KOR,South Korea,Asia,2014,Both,60+,Prevalence,9.23,7.85,10.89,Percent,GBD 2021
PAK,Pakistan,Asia,2014,Both,60+,Prevalence,6.77,5.75,7.99,Percent,GBD 2021
BGD,Bangladesh,Asia,2014,Both,60+,Prevalence,6.54,5.56,7.72,Percent,GBD 2021
AUS,Australia,Oceania,2014,Both,60+,Prevalence,9.69,8.24,11.43,Percent,GBD 2021
IND,India,Asia,2015,Both,60+,Prevalence,8.70,7.40,10.27,Percent,GBD 2021
CHN,China,Asia,2015,Both,60+,Prevalence,8.46,7.19,9.98,Percent,GBD 2021
USA,United States,Americas,2015,Both,60+,Prevalence,9.87,8.39,11.65,Percent,GBD 2021
JPN,Japan,Asia,2015,Both,60+,Prevalence,11.99,10.19,14.15,Percent,GBD 2021
IDN,Indonesia,Asia,2015,Both,60+,Prevalence,7.17,6.09,8.46,Percent,GBD 2021
BRA,Brazil,Americas,2015,Both,60+,Prevalence,9.17,7.79,10.82,Percent,GBD 2021
NGA,Nigeria,Africa,2015,Both,60+,Prevalence,5.76,4.90,6.80,Percent,GBD 2021
DEU,Germany,Europe,2015,Both,60+,Prevalence,10.46,8.89,12.34,Percent,GBD 2021
GBR,United Kingdom,Europe,2015,Both,60+,Prevalence,9.99,8.49,11.79,Percent,GBD 2021
FRA,France,Europe,2015,Both,60+,Prevalence,10.11,8.59,11.93,Percent,GBD 2021
ITA,Italy,Europe,2015,Both,60+,Prevalence,10.69,9.09,12.61,Percent,GBD 2021
KOR,South Korea,Asia,2015,Both,60+,Prevalence,9.28,7.89,10.95,Percent,GBD 2021
PAK,Pakistan,Asia,2015,Both,60+,Prevalence,6.82,5.80,8.05,Percent,GBD 2021
BGD,Bangladesh,Asia,2015,Both,60+,Prevalence,6.58,5.59,7.76,Percent,GBD 2021
AUS,Australia,Oceania,2015,Both,60+,Prevalence,9.75,8.29,11.51,Percent,GBD 2021
IND,India,Asia,2016,Both,60+,Prevalence,8.75,7.44,10.33,Percent,GBD 2021
CHN,China,Asia,2016,Both,60+,Prevalence,8.51,7.23,10.04,Percent,GBD 2021
USA,United States,Americas,2016,Both,60+,Prevalence,9.93,8.44,11.72,Percent,GBD 2021
JPN,Japan,Asia,2016,Both,60+,Prevalence,12.06,10.25,14.23,Percent,GBD 2021
IDN,Indonesia,Asia,2016,Both,60+,Prevalence,7.21,6.13,8.51,Percent,GBD 2021
BRA,Brazil,Americas,2016,Both,60+,Prevalence,9.22,7.84,10.88,Percent,GBD 2021
NGA,Nigeria,Africa,2016,Both,60+,Prevalence,5.79,4.92,6.83,Percent,GBD 2021
DEU,Germany,Europe,2016,Both,60+,Prevalence,10.52,8.94,12.41,Percent,GBD 2021
GBR,United Kingdom,Europe,2016,Both,60+,Prevalence,10.05,8.54,11.86,Percent,GBD 2021
FRA,France,Europe,2016,Both,60+,Prevalence,10.17,8.64,12.00,Percent,GBD 2021
ITA,Italy,Europe,2016,Both,60+,Prevalence,10.76,9.15,12.70,Percent,GBD 2021
KOR,South Korea,Asia,2016,Both,60+,Prevalence,9.34,7.94,11.02,Percent,GBD 2021
PAK,Pakistan,Asia,2016,Both,60+,Prevalence,6.86,5.83,8.09,Percent,GBD 2021
BGD,Bangladesh,Asia,2016,Both,60+,Prevalence,6.62,5.63,7.81,Percent,GBD 2021
AUS,Australia,Oceania,2016,Both,60+,Prevalence,9.81,8.34,11.58,Percent,GBD 2021
IND,India,Asia,2017,Both,60+,Prevalence,8.80,7.48,10.38,Percent,GBD 2021
CHN,China,Asia,2017,Both,60+,Prevalence,8.56,7.28,10.10,Percent,GBD 2021
USA,United States,Americas,2017,Both,60+,Prevalence,9.99,8.49,11.79,Percent,GBD 2021
JPN,Japan,Asia,2017,Both,60+,Prevalence,12.13,10.31,14.31,Percent,GBD 2021
IDN,Indonesia,Asia,2017,Both,60+,Prevalence,7.25,6.16,8.56,Percent,GBD 2021
BRA,Brazil,Americas,2017,Both,60+,Prevalence,9.27,7.88,10.94,Percent,GBD 2021
NGA,Nigeria,Africa,2017,Both,60+,Prevalence,5.83,4.96,6.88,Percent,GBD 2021
DEU,Germany,Europe,2017,Both,60+,Prevalence,10.58,8.99,12.48,Percent,GBD 2021
GBR,United Kingdom,Europe,2017,Both,60+,Prevalence,10.11,8.59,11.93,Percent,GBD 2021
FRA,France,Europe,2017,Both,60+,Prevalence,10.23,8.70,12.07,Percent,GBD 2021
ITA,Italy,Europe,2017,Both,60+,Prevalence,10.82,9.20,12.77,Percent,GBD 2021
KOR,South Korea,Asia,2017,Both,60+,Prevalence,9.39,7.98,11.08,Percent,GBD 2021
PAK,Pakistan,Asia,2017,Both,60+,Prevalence,6.90,5.87,8.14,Percent,GBD 2021
BGD,Bangladesh,Asia,2017,Both,60+,Prevalence,6.66,5.66,7.86,Percent,GBD 2021
AUS,Australia,Oceania,2017,Both,60+,Prevalence,9.87,8.39,11.65,Percent,GBD 2021
IND,India,Asia,2018,Both,60+,Prevalence,8.85,7.52,10.44,Percent,GBD 2021
CHN,China,Asia,2018,Both,60+,Prevalence,8.61,7.32,10.16,Percent,GBD 2021
USA,United States,Americas,2018,Both,60+,Prevalence,10.05,8.54,11.86,Percent,GBD 2021
JPN,Japan,Asia,2018,Both,60+,Prevalence,12.20,10.37,14.40,Percent,GBD 2021
IDN,Indonesia,Asia,2018,Both,60+,Prevalence,7.30,6.21,8.61,Percent,GBD 2021
BRA,Brazil,Americas,2018,Both,60+,Prevalence,9.33,7.93,11.01,Percent,GBD 2021
NGA,Nigeria,Africa,2018,Both,60+,Prevalence,5.86,4.98,6.91,Percent,GBD 2021
DEU,Germany,Europe,2018,Both,60+,Prevalence,10.64,9.04,12.56,Percent,GBD 2021
GBR,United Kingdom,Europe,2018,Both,60+,Prevalence,10.17,8.64,12.00,Percent,GBD 2021
FRA,France,Europe,2018,Both,60+,Prevalence,10.29,8.75,12.14,Percent,GBD 2021
ITA,Italy,Europe,2018,Both,60+,Prevalence,10.88,9.25,12.84,Percent,GBD 2021
KOR,South Korea,Asia,2018,Both,60+,Prevalence,9.45,8.03,11.15,Percent,GBD 2021
PAK,Pakistan,Asia,2018,Both,60+,Prevalence,6.94,5.90,8.19,Percent,GBD 2021
BGD,Bangladesh,Asia,2018,Both,60+,Prevalence,6.70,5.70,7.91,Percent,GBD 2021
AUS,Australia,Oceania,2018,Both,60+,Prevalence,9.93,8.44,11.72,Percent,GBD 2021
IND,India,Asia,2019,Both,60+,Prevalence,8.90,7.57,10.50,Percent,GBD 2021
CHN,China,Asia,2019,Both,60+,Prevalence,8.66,7.36,10.22,Percent,GBD 2021
USA,United States,Americas,2019,Both,60+,Prevalence,10.11,8.59,11.93,Percent,GBD 2021
JPN,Japan,Asia,2019,Both,60+,Prevalence,12.27,10.43,14.48,Percent,GBD 2021
IDN,Indonesia,Asia,2019,Both,60+,Prevalence,7.34,6.24,8.66,Percent,GBD 2021
BRA,Brazil,Americas,2019,Both,60+,Prevalence,9.38,7.97,11.07,Percent,GBD 2021
NGA,Nigeria,Africa,2019,Both,60+,Prevalence,5.89,5.01,6.95,Percent,GBD 2021
DEU,Germany,Europe,2019,Both,60+,Prevalence,10.71,9.10,12.64,Percent,GBD 2021
GBR,United Kingdom,Europe,2019,Both,60+,Prevalence,10.23,8.70,12.07,Percent,GBD 2021
FRA,France,Europe,2019,Both,60+,Prevalence,10.35,8.80,12.21,Percent,GBD 2021
ITA,Italy,Europe,2019,Both,60+,Prevalence,10.95,9.31,12.92,Percent,GBD 2021
KOR,South Korea,Asia,2019,Both,60+,Prevalence,9.50,8.07,11.21,Percent,GBD 2021
PAK,Pakistan,Asia,2019,Both,60+,Prevalence,6.98,5.93,8.24,Percent,GBD 2021
BGD,Bangladesh,Asia,2019,Both,60+,Prevalence,6.74,5.73,7.95,Percent,GBD 2021
AUS,Australia,Oceania,2019,Both,60+,Prevalence,9.98,8.48,11.78,Percent,GBD 2021
IND,India,Asia,2020,Both,60+,Prevalence,8.95,7.61,10.56,Percent,GBD 2021
CHN,China,Asia,2020,Both,60+,Prevalence,8.71,7.40,10.28,Percent,GBD 2021
USA,United States,Americas,2020,Both,60+,Prevalence,10.16,8.64,11.99,Percent,GBD 2021
JPN,Japan,Asia,2020,Both,60+,Prevalence,12.34,10.49,14.56,Percent,GBD 2021
IDN,Indonesia,Asia,2020,Both,60+,Prevalence,7.38,6.27,8.71,Percent,GBD 2021
BRA,Brazil,Americas,2020,Both,60+,Prevalence,9.44,8.02,11.14,Percent,GBD 2021
NGA,Nigeria,Africa,2020,Both,60+,Prevalence,5.93,5.04,7.00,Percent,GBD 2021
DEU,Germany,Europe,2020,Both,60+,Prevalence,10.77,9.15,12.71,Percent,GBD 2021
GBR,United Kingdom,Europe,2020,Both,60+,Prevalence,10.29,8.75,12.14,Percent,GBD 2021
FRA,France,Europe,2020,Both,60+,Prevalence,10.41,8.85,12.28,Percent,GBD 2021
ITA,Italy,Europe,2020,Both,60+,Prevalence,11.01,9.36,12.99,Percent,GBD 2021
KOR,South Korea,Asia,2020,Both,60+,Prevalence,9.56,8.13,11.28,Percent,GBD 2021
PAK,Pakistan,Asia,2020,Both,60+,Prevalence,7.02,5.97,8.28,Percent,GBD 2021
BGD,Bangladesh,Asia,2020,Both,60+,Prevalence,6.78,5.76,8.00,Percent,GBD 2021
AUS,Australia,Oceania,2020,Both,60+,Prevalence,10.04,8.53,11.85,Percent,GBD 2021
IND,India,Asia,2021,Both,60+,Prevalence,9.01,7.66,10.63,Percent,GBD 2021
CHN,China,Asia,2021,Both,60+,Prevalence,8.76,7.45,10.34,Percent,GBD 2021
USA,United States,Americas,2021,Both,60+,Prevalence,10.22,8.69,12.06,Percent,GBD 2021
JPN,Japan,Asia,2021,Both,60+,Prevalence,12.41,10.55,14.64,Percent,GBD 2021
IDN,Indonesia,Asia,2021,Both,60+,Prevalence,7.42,6.31,8.76,Percent,GBD 2021
BRA,Brazil,Americas,2021,Both,60+,Prevalence,9.49,8.07,11.20,Percent,GBD 2021
NGA,Nigeria,Africa,2021,Both,60+,Prevalence,5.96,5.07,7.03,Percent,GBD 2021
DEU,Germany,Europe,2021,Both,60+,Prevalence,10.83,9.21,12.78,Percent,GBD 2021
GBR,United Kingdom,Europe,2021,Both,60+,Prevalence,10.34,8.79,12.20,Percent,GBD 2021
FRA,France,Europe,2021,Both,60+,Prevalence,10.47,8.90,12.35,Percent,GBD 2021
ITA,Italy,Europe,2021,Both,60+,Prevalence,11.07,9.41,13.06,Percent,GBD 2021
KOR,South Korea,Asia,2021,Both,60+,Prevalence,9.61,8.17,11.34,Percent,GBD 2021
PAK,Pakistan,Asia,2021,Both,60+,Prevalence,7.06,6.00,8.33,Percent,GBD 2021
BGD,Bangladesh,Asia,2021,Both,60+,Prevalence,6.82,5.80,8.05,Percent,GBD 2021
AUS,Australia,Oceania,2021,Both,60+,Prevalence,10.10,8.58,11.92,Percent,GBD 2021
